term,doc_freq,total,source_fields,gene_ids
glutathione reductase,9,54,RELATED locus_synonym,LOC100381818 (tpzm:0003702); pco111841b (tpzm:0018803); umc2353 (tpzm:0024090)
zmubi,9,50,EXACT locus_synonym; RELATED locus_synonym,ubi1 (tpzm:0023372); ubi2 (tpzm:0023373); uce9 (tpzm:0023441)
pentatricopeptide repeat protein,9,30,RELATED locus_synonym,GRMZM2G123314 (tpzm:0000855); emp7 (tpzm:0013141)
legume,9,30,RELATED locus_synonym,IDP7421 (tpzm:0002235); LOC100281576 (tpzm:0003364); Zm00001d030759 (tpzm:0006376); Zm00001d049741 (tpzm:0007115)
chi,9,28,RELATED locus_synonym,Zm00001eb193130 (tpzm:0007818); si707052g07 (tpzm:0022404)
transmembrane protein,9,27,RELATED locus_synonym,GRMZM2G056606 (tpzm:0000599); Zm00001d051405 (tpzm:0007175); pip1a (tpzm:0019772)
protein phosphatase 2c,9,27,EXACT locus_synonym; RELATED locus_synonym,prh137 (tpzm:0020330); prh29 (tpzm:0020353); prh3 (tpzm:0020354); prh45 (tpzm:0020367); prh90 (tpzm:0020404)
nuclear protein,9,22,EXACT locus_synonym,cl43678_1 (tpzm:0011598)
rlk,9,19,EXACT locus_synonym,rlk11 (tpzm:0021409)
sugary1,9,15,EXACT description; EXACT locus_name; EXACT locus_synonym,su1 (tpzm:0022776)
atp synthase,9,15,EXACT locus_synonym,LOC103643094 (tpzm:0004441)
zmactin,9,14,EXACT locus_synonym,act10 (tpzm:0008744)
serine/threonine kinase,9,14,EXACT locus_synonym,IDP27 (tpzm:0001548)
ag,9,14,EXACT locus_synonym,glb3 (tpzm:0013938)
transcription activator,9,12,EXACT locus_synonym,GRMZM2G145085 (tpzm:0000931)
aldolase,9,12,EXACT locus_synonym,ald1 (tpzm:0008875); ald3 (tpzm:0008877)
calcium-dependent protein kinase,9,11,EXACT locus_synonym,cdpk17 (tpzm:0010414)
ts2,8,71,EXACT jschnable_name; EXACT locus; NAME (gene symbol),ts2 (tpzm:0023292)
snrk2,8,69,RELATED locus_synonym,C0P676 (tpzm:0000346); Zm00001d024775 (tpzm:0006137); snrkII3 (tpzm:0022613)
lrr-rlk,8,55,RELATED locus_synonym,Zm00001d039188 (tpzm:0006683); Zm00001d048390 (tpzm:0007048); Zm00001eb153630 (tpzm:0007707); mmp168 (tpzm:0016602); rlk10 (tpzm:0021408)
comt,8,54,RELATED locus_synonym,fomt4 (tpzm:0013709); omt1 (tpzm:0017884); omt2 (tpzm:0017885)
f3h,8,50,RELATED locus_synonym,fht2 (tpzm:0013598); ga20ox4 (tpzm:0013764)
pds,8,48,RELATED locus_synonym,LOC103633372 (tpzm:0004132); LOC103650644 (tpzm:0004670)
myc2,8,48,RELATED locus_synonym,bhlh116 (tpzm:0009469); pco113818 (tpzm:0018820); r1 (tpzm:0020929)
mir156,8,47,EXACT locus_synonym,cg1 (tpzm:0010540)
su1,8,43,EXACT jschnable_name; EXACT locus; NAME (gene symbol),su1 (tpzm:0022776)
aux1,8,42,RELATED locus_synonym,aic4 (tpzm:0008862); iaa25 (tpzm:0015221)
ccoaomt,8,40,RELATED locus_synonym,Zm00001d005998 (tpzm:0005440); cts4 (tpzm:0012412); omt3 (tpzm:0017886); omt4 (tpzm:0017887)
mep,8,32,EXACT locus_synonym,GRMZM2G018103 (tpzm:0000435)
h2b,8,32,EXACT locus_synonym; RELATED locus_synonym,his2b2 (tpzm:0015022); his2b4 (tpzm:0015024); his2b5 (tpzm:0015025)
fkf1,8,29,EXACT locus; EXACT locus_synonym; NAME (gene symbol),fkf1 (tpzm:0013609); fkf2 (tpzm:0013610)
zmcct10,8,28,RELATED locus_synonym,cct1 (tpzm:0010325); cct10 (tpzm:0010326)
hd1,8,28,EXACT locus_synonym,conz1 (tpzm:0012180)
agc,8,23,EXACT locus_synonym,LOC100193886 (tpzm:0002920)
tir1,8,21,EXACT locus; EXACT locus_synonym; NAME (gene symbol),tir1 (tpzm:0023108); tir2 (tpzm:0023109)
pl1,8,15,EXACT jschnable_name; EXACT locus; EXACT maizegdb_name; NAME (gene symbol),pl1 (tpzm:0019797)
leafy,8,11,EXACT locus_synonym,zfl1 (tpzm:0024833)
teosinte branched1,8,10,EXACT description; EXACT locus_name; EXACT locus_synonym,tb1 (tpzm:0022861)
trehalose-6-phosphate phosphatase,8,9,EXACT locus_synonym,ra3 (tpzm:0020932)
gata,8,9,EXACT locus_synonym,ami4 (tpzm:0008975)
actin1,8,9,EXACT description; EXACT locus_name,act1 (tpzm:0008743)
cbl,8,8,EXACT locus_synonym,cipk16 (tpzm:0010679)
dfr,7,667,RELATED locus_synonym,AY103770 (tpzm:0000127); IDP2557 (tpzm:0001529); IDP4405 (tpzm:0001773); IDP4767 (tpzm:0001835); IDP7346 (tpzm:0002205); LOC100193896 (tpzm:0002921); LOC100282228 (tpzm:0003406); LOC100284504 (tpzm:0003558); LOC100382657 (tpzm:0003740); LOC103632940 (tpzm:0004108); LOC103647545 (tpzm:0004575); LOC103654125 (tpzm:0004786); LOC109946031 (tpzm:0004924); Zm00001d015513 (tpzm:0005801); andr1 (tpzm:0009001); andr2 (tpzm:0009002); cl42025_1 (tpzm:0011578); cncr1 (tpzm:0012111); cncr2 (tpzm:0012112); dfr3 (tpzm:0012697)
acyltransferase,7,196,RELATED locus_synonym,Zm00001d011927 (tpzm:0005681); ad1 (tpzm:0008762); hct12 (tpzm:0014870); kcs1 (tpzm:0015503); kcs38 (tpzm:0015526); kcs39 (tpzm:0015527); kcs40 (tpzm:0015528)
hsp20,7,120,EXACT locus; NAME (gene symbol); RELATED locus_synonym,hsp10 (tpzm:0015145); hsp11 (tpzm:0015146); hsp12 (tpzm:0015147); hsp20 (tpzm:0015155); hsp24 (tpzm:0015158)
gh3,7,108,RELATED locus_synonym,aas1 (tpzm:0008554); aas12 (tpzm:0008557); aas2 (tpzm:0008559); cl7007_1 (tpzm:0011889)
zmsut1,7,82,RELATED locus_synonym,sut1 (tpzm:0022810); sut7 (tpzm:0022816)
br2,7,73,EXACT locus; NAME (gene symbol),br2 (tpzm:0009750)
nb-arc,7,52,EXACT locus_synonym,GRMZM2G079082 (tpzm:0000693)
ts1,7,49,EXACT jschnable_name; EXACT locus; NAME (gene symbol),ts1 (tpzm:0023291)
rna-binding protein,7,44,RELATED locus_synonym,ncp2 (tpzm:0017479); ncp3 (tpzm:0017480); ring159 (tpzm:0021148); ring60 (tpzm:0021367)
bif2,7,38,EXACT jschnable_name; EXACT locus; NAME (gene symbol),bif2 (tpzm:0009646)
receptor-like protein kinase,7,32,RELATED locus_synonym,LOC103636588 (tpzm:0004253); Zm00001d051313 (tpzm:0007170); lrx11 (tpzm:0015837); pepr2 (tpzm:0019446)
rps12,7,29,EXACT locus; NAME (gene symbol),rps12 (tpzm:0021518)
lar,7,25,EXACT locus_synonym,andr2 (tpzm:0009002)
phenylalanine ammonia-lyase,7,24,RELATED locus_synonym,Zm00001d051164 (tpzm:0007162); pal13 (tpzm:0017964); pal5 (tpzm:0017970)
abf,7,24,RELATED locus_synonym,Zm.048093 (tpzm:0005277); bzip111 (tpzm:0009835); bzip38 (tpzm:0009885)
dlf1,7,18,EXACT jschnable_name; EXACT locus; EXACT maizegdb_name; NAME (gene symbol),dlf1 (tpzm:0012747)
c2,7,17,EXACT jschnable_name; EXACT locus; NAME (gene symbol),c2 (tpzm:0009957)
transmembrane transporter,7,16,RELATED locus_synonym,mate11 (tpzm:0016057); mate13 (tpzm:0016059)
gat,7,15,EXACT locus_synonym,aaap23 (tpzm:0008500)
zein protein,7,14,EXACT description,zp15 (tpzm:0024961)
dcl3,7,14,EXACT locus_synonym,dcl104 (tpzm:0012644)
d3,7,13,EXACT jschnable_name; EXACT locus; EXACT maizegdb_name; NAME (gene symbol),d3 (tpzm:0012602)
gbp,7,12,EXACT locus_synonym,csu108a(gbp) (tpzm:0012275)
